month,temp,elect_lag,holiday,weekend,days
1/1/05,26.6,408,1,10,3
1/2/05,28.5,446,2,8,0
1/3/05,28.5,496,1,8,3
1/4/05,28.7,496,0,9,2
1/5/05,28.5,519,2,9,3
1/6/05,28.8,497,0,8,2
1/7/05,28,489,0,10,3
1/8/05,28.2,477,1,8,3
1/9/05,28.2,480,0,8,2
1/10/05,27.6,479,0,10,3
1/11/05,27.3,441,2,8,2
1/12/05,27.3,430,1,9,3
1/1/06,26.5,418,3,9,3
1/2/06,27.5,433,0,8,0
1/3/06,28.3,472,0,8,3
1/4/06,27.6,481,1,10,2
1/5/06,28.1,491,2,8,3
1/6/06,27.8,472,0,8,2
1/7/06,28.4,500,0,10,3
1/8/06,28.3,498,1,8,3
1/9/06,28,483,0,9,2
1/10/06,28.3,491,1,9,3
1/11/06,27.3,454,1,8,2
1/12/06,26.6,434,1,10,3
1/1/07,26.5,407,1,8,3
1/2/07,27.3,413,1,8,0
1/3/07,27.5,467,0,9,3
1/4/07,28.1,495,1,9,2
1/5/07,28.3,507,2,8,3
1/6/07,28.4,513,0,9,2
1/7/07,27.7,505,0,9,3
1/8/07,27.7,467,1,8,3
1/9/07,27.8,468,0,10,2
1/10/07,27.8,497,0,8,3
1/11/07,26.9,444,1,8,2
1/12/07,26.4,424,2,10,3
1/1/08,26.8,429,1,8,3
1/2/08,26.7,406,2,8,0
1/3/08,26.5,444,1,10,3
1/4/08,28.1,491,0,8,2
1/5/08,28.8,516,2,9,3
1/6/08,28.2,473,0,9,2
1/7/08,27.8,459,0,8,3
1/8/08,27.4,466,0,10,3
1/9/08,27.7,467,0,8,2
1/10/08,27.6,481,2,8,3
1/11/08,27.3,433,0,10,2
1/12/08,26.9,426,2,8,3
1/1/09,26.8,412,3,9,3
1/2/09,27.3,412,0,8,0
1/3/09,27.2,455,0,9,3
1/4/09,28.5,496,1,8,2
1/5/09,28.7,541,1,10,3
1/6/09,29.1,529,0,8,2
1/7/09,28.3,507,0,8,3
1/8/09,28.3,492,1,10,3
1/9/09,28.3,492,1,8,2
1/10/09,28.2,497,0,9,3
1/11/09,27.2,455,2,9,2
1/12/09,27.1,433,1,8,3
1/1/10,27.5,446,1,10,3
1/2/10,28.9,482,1,8,0
1/3/10,28.6,513,0,8,3
1/4/10,28.6,505,1,8,2
1/5/10,29.2,531,1,10,3
1/6/10,28.3,502,0,8,2
1/7/10,27.7,471,0,9,3
1/8/10,27.9,472,1,9,3
1/9/10,28,486,1,8,2
1/10/10,28.3,509,0,10,3
1/11/10,27.4,466,2,8,2
1/12/10,26.8,436,0,8,3
1/1/11,26.3,404,0,10,3
1/2/11,27.3,404,2,8,0
1/3/11,27.1,454,0,8,3
1/4/11,27.9,490,1,9,2
1/5/11,28.5,521,2,9,3
1/6/11,28.4,505,0,8,2
1/7/11,28.7,508,0,10,3
1/8/11,27.9,501,2,8,3
1/9/11,27.8,479,0,8,2
1/10/11,27.3,463,1,10,3
1/11/11,27.1,431,1,8,2
1/12/11,26.6,431,1,9,3
1/1/12,26.7,430,3,9,3
1/2/12,27.2,432,0,8,0
1/3/12,27,459,0,9,3
1/4/12,27.6,472,1,9,2
1/5/12,28.2,514,1,8,3
1/6/12,28.7,502,0,9,2
1/7/12,27.7,493,0,9,3
1/8/12,27.9,483,2,8,3
1/9/12,27.9,471,0,10,2
1/10/12,27.7,478,1,8,3
1/11/12,27.1,440,1,8,2
1/12/12,26.7,430,1,10,3
1/1/13,27.1,418,1,8,3
1/2/13,26.5,417,2,8,0
1/3/13,28.3,473,1,10,3
1/4/13,28.2,508,0,8,2
1/5/13,28.2,525,2,8,3
1/6/13,29,508,0,10,2
1/7/13,27.8,513,0,8,3
1/8/13,27.9,465,2,9,3
1/9/13,27.5,459,0,9,2
1/10/13,27.7,471,1,8,3
1/11/13,27.1,436,0,9,2
1/12/13,26.5,420,1,9,3
1/1/14,26.2,402,2,8,3
1/2/14,27.2,400,0,8,0
1/3/14,27.9,462,0,10,3
1/4/14,28.2,494,1,8,2
1/5/14,28.6,516,2,9,3
1/6/14,29,506,0,9,2
1/7/14,28.7,510,1,8,3
1/8/14,27.7,474,0,10,3
1/9/14,28.5,463,0,8,2
1/10/14,28.4,486,2,8,3
1/11/14,27.5,453,0,10,2
1/12/14,27,414,1,8,3
1/1/15,26.9,390,1,9,3
1/2/15,27,403,2,8,0
1/3/15,28.2,463,0,9,3
1/4/15,28.6,476,1,8,2
1/5/15,28.7,491,1,10,3
1/6/15,29,500,1,8,2
1/7/15,29.1,507,1,8,3
1/8/15,28.4,491,2,10,3
1/9/15,28.7,494,2,8,2
1/10/15,28.7,506,0,9,3
1/11/15,28,476,1,9,2
1/12/15,27.7,436,1,8,3
1/1/16,28.3,443,1,10,3
1/2/16,27.8,445,2,8,0
1/3/16,29,490,1,8,3
1/4/16,29.4,520,0,9,2
1/5/16,29.3,531,1,9,3
1/6/16,28.5,481,0,8,2
1/7/16,28.4,484,1,10,3
1/8/16,28.9,484,1,8,3
1/9/16,28.3,484,1,8,2
1/10/16,28.3,479,0,10,3
1/11/16,27.4,425,0,8,2
1/12/16,27.4,,1,9,3
